file,line,classification,note,sentence,replacement
"src/lib/data/answers/buy-a-hotel/branded-vs-independent.ts","40","OK","","Tapestry Collection lists a 5 percent royalty and a 4 percent program fee.[3] Spark, which Hilton describes as competing in the economy segment, lists a 5.5 percent royalty and a program fee of 3.0 to 3.5 percent.[4] We cite Hilton's documents because Hilton posts them publicly.",""
"src/lib/data/answers/buy-a-hotel/branded-vs-independent.ts","65","OK","","Our September 2026 rate sheet marks conventional spreads and leverage as not yet published for every hotel segment, because lenders do not print them.[2] In practice a brand helps the credit story in two ways: the lender can see index data against a competitive set, and the reservation system gives it some comfort about demand if the operator changes.",""
"src/lib/data/answers/buy-a-hotel/branded-vs-independent.ts","126","OK","","Matthews Hotel Markets tracks pricing by segment, not by flag.",""
"src/lib/data/answers/buy-a-hotel/branded-vs-independent.ts","126","OK","","The Matthews Hotel Index for Q1 2026 puts select-service cap rates in a 7.50 to 8.75 percent band across the 14 markets we cover.[5]",""
"src/lib/data/answers/buy-a-hotel/branded-vs-independent.ts","172","OK","","Matthews Hotel Markets September 2026 rate sheet",""
"src/lib/data/answers/buy-a-hotel/branded-vs-independent.ts","174","OK","","Matthews Hotel Markets",""
"src/lib/data/answers/buy-a-hotel/branded-vs-independent.ts","193","OK","","Matthews Hotel Index, Q1 2026",""
"src/lib/data/answers/buy-a-hotel/branded-vs-independent.ts","195","OK","","Matthews Hotel Markets (first-party)",""
"src/lib/data/answers/buy-a-hotel/branded-vs-independent.ts","225","OK","","Ask us about a specific hotel",""
"src/lib/data/answers/buy-a-hotel/branded-vs-independent.ts","228","OK","","Matthews Hotel Markets has closed sales of both branded and independent hotels, so we have no stake in which one you buy.",""
"src/lib/data/answers/buy-a-hotel/buying-a-hotel-from-receivership-or-foreclosure.ts","44","OK","","We do not publish a discount to expect, because no public source measures one for hotels.",""
"src/lib/data/answers/buy-a-hotel/buying-a-hotel-from-receivership-or-foreclosure.ts","110","OK","","Matthews Hotel Markets' September 2026 rate sheet shows what acquisition debt is priced from: the 10-year Treasury was 4.94 percent on September 17, 2026, SOFR was 3.85 percent, and the SBA 7(a) maximum variable rate was 10.00 percent.[8] A distressed price only helps if the hotel's current income can carry debt at those levels.",""
"src/lib/data/answers/buy-a-hotel/buying-a-hotel-from-receivership-or-foreclosure.ts","127","OK","","The federal statute sets a floor of two-thirds of appraised value for a private sale and lets a 10 percent higher offer displace yours.[1] No public source measures a typical discount for hotels, so we do not publish one.",""
