prompt,intent,stage,cluster,target_url,priority,citation_likely,why_we_can_win,notes
"Where can I find a hotel for sale in Austin, TX?",local,act,Markets,/markets/austin-tx,2,Y,Existing /markets/austin-tx page; Matthews HQ office here; provenance lift,carried forward from priority-targets.md pattern A
"Who is the best hotel broker in Austin, TX?",local,compare,Markets,/markets/austin-tx,2,N,Matthews HQ office here; provenance lift; needs broker-comparison content on the market page,"pattern B, prior sprint"
What are hotel cap rates like in Austin right now?,informational,learn,Markets,/markets/austin-tx,2,N,Original data point on market page (RevPAR/cap rate) is the citable sentence,"pattern D, prior sprint"
What's the hotel investment market like in Austin in 2026?,informational,learn,Markets,/markets/austin-tx,3,N,Matthews HQ office here; provenance lift,"pattern E, prior sprint"
"Where can I find a hotel for sale in Dallas, TX?",local,act,Markets,/markets/dallas-tx,2,N,Existing /markets/dallas-tx page; Hotel Brokers of America incumbent on generic term,carried forward from priority-targets.md pattern A
"Who is the best hotel broker in Dallas, TX?",local,compare,Markets,/markets/dallas-tx,2,N,Hotel Brokers of America incumbent on generic term; needs broker-comparison content on the market page,"pattern B, prior sprint"
What are hotel cap rates like in Dallas right now?,informational,learn,Markets,/markets/dallas-tx,2,N,Original data point on market page (RevPAR/cap rate) is the citable sentence,"pattern D, prior sprint"
What's the hotel investment market like in Dallas in 2026?,informational,learn,Markets,/markets/dallas-tx,3,N,Hotel Brokers of America incumbent on generic term,"pattern E, prior sprint"
"Where can I find a hotel for sale in Houston, TX?",local,act,Markets,/markets/houston-tx,2,N,"Existing /markets/houston-tx page; Energy-corp demand narrative, large listing inventory",carried forward from priority-targets.md pattern A
"Who is the best hotel broker in Houston, TX?",local,compare,Markets,/markets/houston-tx,2,N,"Energy-corp demand narrative, large listing inventory; needs broker-comparison content on the market page","pattern B, prior sprint"
What are hotel cap rates like in Houston right now?,informational,learn,Markets,/markets/houston-tx,2,N,Original data point on market page (RevPAR/cap rate) is the citable sentence,"pattern D, prior sprint"
What's the hotel investment market like in Houston in 2026?,informational,learn,Markets,/markets/houston-tx,3,N,"Energy-corp demand narrative, large listing inventory","pattern E, prior sprint"
"Where can I find a hotel for sale in San Antonio, TX?",local,act,Markets,/markets/san-antonio-tx,2,N,"Existing /markets/san-antonio-tx page; Wide open, no strong incumbent",carried forward from priority-targets.md pattern A
"Who is the best hotel broker in San Antonio, TX?",local,compare,Markets,/markets/san-antonio-tx,2,N,"Wide open, no strong incumbent; needs broker-comparison content on the market page","pattern B, prior sprint"
What are hotel cap rates like in San Antonio right now?,informational,learn,Markets,/markets/san-antonio-tx,2,N,Original data point on market page (RevPAR/cap rate) is the citable sentence,"pattern D, prior sprint"
