prompt,rank,domain,url,page_type
Who is Matthews Hotel Markets?,1,matthews.com,https://www.matthews.com/insights/emerging-hospitality-markets-in-texas,insights_article
Who is Matthews Hotel Markets?,2,matthews.com,https://www.matthews.com/success_stories/how-matthews-closed-a-competitive-hotel-sale-amid-market-uncertainty,success_story
Who is Matthews Hotel Markets?,3,matthews.com,https://www.matthews.com/market_insights/midwest-hospitality-market-report,market_report
Who is Matthews Hotel Markets?,4,matthews.com,https://www.matthews.com/insights/looking-ahead-hospitality-market-forecast,insights_article
Who is Matthews Hotel Markets?,5,matthews.com,https://www.matthews.com/market_insights/top-national-hospitality-markets,market_report
Who is Matthews Hotel Markets?,6,matthews.com,https://www.matthews.com/services/investment-sales/hospitality,service_page
Who is Matthews Hotel Markets?,7,matthews.com,https://www.matthews.com/insights/a-reality-check-for-us-hotel-investors,insights_article
Who is Matthews Hotel Markets?,8,matthewshotelmarkets.com,https://matthewshotelmarkets.com/team,team_index
Who is Matthews Hotel Markets?,9,matthewshotelmarkets.com,https://matthewshotelmarkets.com/,homepage
Is Matthews Real Estate Investment Services a good hotel broker?,1,repvue.com,https://www.repvue.com/companies/matthews-real-estate-investment-servces/reviews,employee_review
Is Matthews Real Estate Investment Services a good hotel broker?,2,glassdoor.com,https://www.glassdoor.com/Reviews/Matthews-Real-Estate-Investment-Services-New-York-City-Reviews-EI_IE1089291.0,employee_review
Is Matthews Real Estate Investment Services a good hotel broker?,3,glassdoor.com,https://www.glassdoor.com/Reviews/Employee-Review-Matthews-Real-Estate-Investment-Services-E1089291-RVW9447702.htm,employee_review
Is Matthews Real Estate Investment Services a good hotel broker?,4,glassdoor.com,https://www.glassdoor.com/Reviews/Matthews-Real-Estate-Investment-Services-Reviews-E1089291.htm,employee_review
Is Matthews Real Estate Investment Services a good hotel broker?,5,matthews.com,https://www.matthews.com/,parent_homepage
Is Matthews Real Estate Investment Services a good hotel broker?,6,bbb.org,https://www.bbb.org/us/tn/nashville/profile/real-estate-investing/matthews-real-estate-investment-services-0573-37326539,bbb_profile
Is Matthews Real Estate Investment Services a good hotel broker?,7,yelp.com,https://www.yelp.com/biz/matthews-real-estate-investment-services-walnut-creek,review_site
Is Matthews Real Estate Investment Services a good hotel broker?,8,wallstreetoasis.com,https://www.wallstreetoasis.com/forum/real-estate/matthews-real-estate-investment-services,forum
Is Matthews Real Estate Investment Services a good hotel broker?,9,bizquest.com,https://www.bizquest.com//business-broker/matthews/danny-gonzalez/BW51758,broker_directory
Does Matthews have a hospitality capital markets team?,1,matthews.com,https://www.matthews.com/agents/mitchell-glasson,agent_profile
Does Matthews have a hospitality capital markets team?,2,matthews.com,https://www.matthews.com/about-us/in-the-news?category=corporate-announcement,news_index
Does Matthews have a hospitality capital markets team?,3,matthews.com,https://www.matthews.com/press-release/matthews-capital-markets-welcomes-vp-in-denver/,press_release
Does Matthews have a hospitality capital markets team?,4,matthews.com,https://www.matthews.com/press-release/capital-markets-expands-senior-leadership-in-dallas,press_release
Does Matthews have a hospitality capital markets team?,5,matthews.com,https://www.matthews.com/services/investment-sales/hospitality,service_page
Does Matthews have a hospitality capital markets team?,6,matthewshotelmarkets.com,https://matthewshotelmarkets.com/team,team_index
Does Matthews have a hospitality capital markets team?,7,matthewshotelmarkets.com,https://matthewshotelmarkets.com/,homepage
Does Matthews have a hospitality capital markets team?,8,matthewsdev.com,https://matthewsdev.com/company/team,dev_staging_domain
Does Matthews have a hospitality capital markets team?,9,matthewsdev.com,https://matthewsdev.com/expertise/hospitality-and-entertainment/,dev_staging_domain
Matthews hotel team Austin Texas,1,linkedin.com,https://www.linkedin.com/in/scott-matthews-573ba01a6/,unrelated_person
Matthews hotel team Austin Texas,2,matthews.com,https://www.matthews.com/agents/luke-thompson,agent_profile
Matthews hotel team Austin Texas,3,matthews.com,https://www.matthews.com/offices/austin,office_page
Matthews hotel team Austin Texas,4,en.wikipedia.org,https://en.wikipedia.org/wiki/Omni_Dallas_Hotel,unrelated_wiki
Matthews hotel team Austin Texas,5,loopnet.com,https://www.loopnet.com/company/matthews-real-estate-investment-services/austin-tx/m760kxhl/,listing_directory
Matthews hotel team Austin Texas,6,matthewshotelmarkets.com,https://matthewshotelmarkets.com/team,team_index
Matthews hotel team Austin Texas,7,matthewsdev.com,https://www.matthewsdev.com/hospitality,dev_staging_domain
Matthews hotel team Austin Texas,8,yelp.com,https://www.yelp.com/biz/sherry-matthews-group-austin,unrelated_business
Matthews hotel team Austin Texas,9,matthewshotelmarkets.com,https://matthewshotelmarkets.com/,homepage
Matthews hotel team Austin Texas,10,en.wikipedia.org,https://en.wikipedia.org/wiki/Brice_Matthews,unrelated_wiki
Who are the hotel brokers at Matthews REIS?,1,themuse.com,https://www.themuse.com/profiles/matthewsrealestateinvestmentservices,employer_profile
Who are the hotel brokers at Matthews REIS?,2,thefortpod.com,https://www.thefortpod.com/videos/kyle-matthews-founder-of-matthews-reis-the-blueprint-for-becoming-a-successful-broker/,podcast
Who are the hotel brokers at Matthews REIS?,3,matthews.com,https://www.matthews.com/,parent_homepage
Who are the hotel brokers at Matthews REIS?,4,matthewshotelmarkets.com,https://matthewshotelmarkets.com/team,team_index
Who are the hotel brokers at Matthews REIS?,5,matthewshotelmarkets.com,https://matthewshotelmarkets.com/,homepage
Who are the hotel brokers at Matthews REIS?,6,net-trade.com,https://www.net-trade.com/agents/companydetails/matthews-reis_Phoenix,agent_directory
Who are the hotel brokers at Matthews REIS?,7,twitter.com,https://twitter.com/matthews_reis?lang=en,social
Who are the hotel brokers at Matthews REIS?,8,wallstreetoasis.com,https://www.wallstreetoasis.com/forum/real-estate/opinions-on-matthews-reis,forum
