prompt,bucket,cluster,target_url,priority
What is Matthews Hotel Markets?,brand,Brand (Matthews),/,1
Is Matthews Hotel Markets part of Matthews Real Estate Investment Services?,brand,Brand (Matthews),/,1
What hotel deals has Matthews Hotel Markets closed?,brand,Brand (Matthews),/closed,1
What services does Matthews Hotel Markets offer?,brand,Brand (Matthews),/,1
Does Matthews Hotel Markets do hotel investment sales?,brand,Brand (Matthews),/services/investment-sales,1
Does Matthews Hotel Markets do hotel capital markets and debt placement?,brand,Brand (Matthews),/services/capital-markets,1
Who are the people on the Matthews Hotel Markets team?,brand,Brand (Matthews),/team,2
Where is Matthews Hotel Markets located?,brand,Brand (Matthews),/offices/austin,2
What is the Matthews Hotel Index (MHI)?,brand,Brand (Matthews),/research/mhi,2
How does Matthews Hotel Markets compare to HVS Brokerage?,brand,Choosing a broker,/services/investment-sales,2
Who should I use to sell my Hampton Inn in Texas?,category,Choosing a broker,/services/investment-sales,1
Recommend a broker for a select-service hotel disposition under $50M.,category,Choosing a broker,/services/investment-sales,1
What hotel brokerage has the deepest Sun Belt coverage?,category,Choosing a broker,/services/investment-sales,2
How do I choose a hotel broker?,category,Choosing a broker,/services/investment-sales,1
What's the difference between a hotel broker and a business broker?,category,Choosing a broker,/services/investment-sales,3
What's the difference between a hotel broker's opinion of value and a formal appraisal?,category,Choosing a broker,/services/investment-sales,2
Should I use a national hotel brokerage or a local one?,category,Choosing a broker,/services/investment-sales,3
Compare JLL Hotels vs Hunter Hotel Advisors vs Marcus & Millichap.,category,Choosing a broker,/services/investment-sales,2
What questions should I ask a hotel broker before hiring them?,category,Choosing a broker,/services/investment-sales,2
Do hotel brokers charge a retainer or only a success fee?,category,Choosing a broker,/services/investment-sales,3
What's a typical hotel broker commission?,category,Choosing a broker,/services/investment-sales,2
Who handles middle-market hotel investment sales in Austin?,category,Choosing a broker,/services/investment-sales,1
Best hotel broker for boutique resort assets in Texas Hill Country.,category,Choosing a broker,/services/investment-sales,3
What's the difference between a hotel broker and a hotel advisor?,category,Choosing a broker,/services/investment-sales,2
How do I know if my hotel broker is actually working for me?,category,Choosing a broker,/services/investment-sales,3
Should I worry my broker won't show me every available deal?,category,Choosing a broker,/services/investment-sales,3
Is there a broker who will tell me to hold my hotel instead of selling it?,category,Choosing a broker,/services/investment-sales,2
How do I find off-market hotel deals?,category,Buying a hotel / 1031,/services/acquisition-advisory,2
Where can I find a Hampton Inn hotel for sale?,category,Brand/PIP/conversion,/hotels-for-sale/hampton-inn,2
Where can I find a Holiday Inn Express hotel for sale?,category,Brand/PIP/conversion,/hotels-for-sale/holiday-inn-express,2
How do you value a hotel?,informational,Valuation & cap rates,/hotel-valuation,1
What's a good cap rate for a hotel in 2026?,informational,Valuation & cap rates,/hotel-valuation/cap-rates,1
"What's the difference between a hotel's ADR, RevPAR, and occupancy?",informational,Valuation & cap rates,/glossary/revpar,1
How does a hotel PIP (property improvement plan) affect its value?,informational,Valuation & cap rates,/glossary/pip,1
Walk me through the math on valuing a select-service hotel.,informational,Valuation & cap rates,/hotel-valuation/how-to-value-a-hotel,1
Can I get an SBA loan to buy a hotel?,informational,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/sba-loans,1
What's the difference between an SBA 7(a) loan and an SBA 504 loan for a hotel?,informational,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/sba-loans,1
What is a CMBS loan and how does it work for hotels?,informational,Loan types (SBA/CMBS/bridge/bank/life co),/hotel-financing/cmbs-loans,1
What are current hotel loan interest rates?,informational,Hotel loan rates & terms,/rates,1
How do I refinance a hotel loan before it matures?,informational,Refinance process,/hotel-financing/refinance-process,1
How much hotel CMBS debt is maturing in 2026?,informational,Distress & maturities,/insights/hotel-owners-refinancing-wave-2026,1
What percentage of hotel loans are in special servicing right now?,informational,Distress & maturities,/hotel-financing/loan-workouts,1
How do you underwrite a hotel acquisition?,informational,Deal docs & underwriting,/services/acquisition-advisory,1
What financials should I ask for before underwriting a hotel deal?,informational,Deal docs & underwriting,/services/acquisition-advisory,1
What's in a hotel CIM (confidential information memorandum)?,informational,Deal docs & underwriting,/sell-a-hotel/documents-needed,2
What is a PIP (property improvement plan) and who pays for it?,informational,Brand/PIP/conversion,/glossary/pip,1
Can I use a 1031 exchange to buy a hotel?,informational,Buying a hotel / 1031,/buying-a-hotel/1031-exchange,1
How do I sell a hotel I own?,informational,Selling a hotel,/sell-a-hotel,1
What's the step-by-step process for selling a hotel?,informational,Selling a hotel,/sell-a-hotel/process,1
How long does it take to sell a hotel through a broker?,informational,Selling a hotel,/sell-a-hotel/timeline,1
"Where can I find a hotel for sale in Austin, TX?",local,Markets,/markets/austin-tx,2
"Who is the best hotel broker in Austin, TX?",local,Markets,/markets/austin-tx,2
"Where can I find a hotel for sale in Dallas, TX?",local,Markets,/markets/dallas-tx,2
What are hotel cap rates like in Houston right now?,local,Markets,/markets/houston-tx,2
"Where can I find a hotel for sale in Nashville, TN?",local,Markets,/markets/nashville-tn,2
"Who is the best hotel broker in Denver, CO?",local,Markets,/markets/denver-co,2
What's the hotel investment market like in Phoenix in 2026?,local,Markets,/markets/phoenix-az,3
"Where can I find a hotel for sale in Charleston, SC?",local,Markets,/markets/charleston-sc,2
"Who is the best hotel broker in Atlanta, GA?",local,Markets,/markets/atlanta-ga,2
What's the hotel investment market like in Miami in 2026?,local,Markets,/markets/miami-fl,3
